觀測時間,測站氣壓,海平面氣壓,氣溫,露點溫度,相對溼度,風速,風向,最大陣風,最大陣風風向,降水量,降水時數,日照時數,全天空日射量,能見度,紫外線指數,總雲量
2016-06-09-02,1003.2,1006.7,27.2,20.8,68,1.9,160,4.1,160,0,0,N/A,0,N/A,0,N/A
2016-06-09-03,1003.2,1006.7,26.8,20.8,70,1.4,140,3.5,170,0,0,N/A,0,N/A,0,N/A
2016-06-09-04,1003.3,1006.8,26.8,21.1,71,1.2,130,3.4,150,0,0,N/A,0,N/A,0,N/A
2016-06-09-05,1003.5,1007,26.7,21.2,72,1.3,170,3.5,170,0,0,N/A,0,N/A,0,N/A
2016-06-09-06,1003.9,1007.4,26.6,21.3,73,1.5,160,3.4,160,0,0,0,0,N/A,0,N/A
2016-06-09-07,1004.6,1008.1,27.4,21.8,72,1,190,2.6,150,0,0,0,0.41,N/A,0,N/A
2016-06-09-08,1004.8,1008.2,29.7,22.7,66,0.9,100,3,170,0,0,0.5,1.34,25,2,3
2016-06-09-09,1004.3,1007.7,31.1,23.1,63,0.4,110,2.6,80,0,0,1,2.12,25,4,2
2016-06-09-10,1004,1007.4,32.6,23.4,58,0.7,110,2.7,190,0,0,0.9,2.52,N/A,5,5
2016-06-09-11,1003.6,1007,33.8,24.9,60,1.6,320,5.4,330,0,0,0.8,2.85,16,7,6
2016-06-09-12,1003,1006.4,34.8,25.3,58,1.4,300,5.5,320,0,0,1,3.58,N/A,9,6
2016-06-09-13,1002.7,1006.1,30.9,22.8,62,2.8,30,7.4,20,0,0,0.6,2.05,N/A,5,8
2016-06-09-14,1002.4,1005.8,29.7,23.2,68,3,70,9.2,50,T,0.5,0,0.31,12,1,10
2016-06-09-15,1003.8,1007.3,25.9,22.7,83,2.6,210,8.4,60,18.8,1,0,0,N/A,0,10
2016-06-09-16,1003.6,1007.1,26.8,24.3,86,0.8,170,4,230,11.5,1,0,0.27,N/A,1,10
2016-06-09-17,1003.7,1007.2,27.5,24.5,84,1,120,2.8,120,T,0.5,0,0.6,12,1,9
2016-06-09-18,1003.5,1007,27.3,23.7,81,1.7,50,3.5,60,0,0,0,0.34,N/A,0,N/A
2016-06-09-19,1003.9,1007.4,27.6,23.5,78,1.6,40,4.1,50,0,0,0,0,N/A,0,N/A
2016-06-09-20,1004.3,1007.8,27.8,23.5,77,2.5,70,4.7,90,0,0,N/A,0,16,0,9
2016-06-09-21,1004.4,1007.9,27.7,22.8,75,2.3,90,6.6,60,0,0,N/A,0,20,0,6
2016-06-09-22,1004.9,1008.4,27.6,22.3,73,3,60,6.1,60,0,0,N/A,0,N/A,0,N/A
2016-06-09-23,1004.5,1008,27.9,21.9,70,1.9,80,5.7,60,0,0,N/A,0,N/A,0,N/A
2016-06-09-24,1004.3,1007.8,26.9,21.9,74,1.1,190,4,80,0,0,N/A,0,N/A,0,N/A
2016-06-10-01,1004.1,1007.6,26.5,21.1,72,0.9,140,2.7,160,0,0,N/A,0,N/A,0,N/A
2016-06-10-02,1004.1,1007.6,26.1,21,74,1.4,160,2.4,170,0,0,N/A,0,N/A,0,N/A
2016-06-10-03,1004.3,1007.8,26.2,21.6,76,1.2,140,2.7,140,0,0,N/A,0,N/A,0,N/A
2016-06-10-04,1004.1,1007.6,26.1,21.6,76,1.6,150,2.9,160,0,0,N/A,0,N/A,0,N/A
2016-06-10-05,1004.5,1008,25.7,21.2,76,0.5,190,3.1,160,0,0,N/A,0,N/A,0,N/A
2016-06-10-06,1005,1008.5,26.2,21.4,75,1.5,140,2.7,170,0,0,0,0.07,N/A,0,N/A
2016-06-10-07,1005.4,1008.9,26.9,22.4,76,1,210,2.3,70,0,0,0,0.51,N/A,0,N/A
2016-06-10-08,1005.5,1009,28,23,74,0.9,210,2.1,160,0,0,0,0.65,30,1,10
2016-06-10-09,1005.4,1008.9,29.1,23.4,71,0.3,190,1.8,230,0,0,0,1.21,30,3,10
2016-06-10-10,1005.2,1008.6,30.1,23.9,69,0.2,0,2.3,260,0,0,0,1.2,N/A,3,10
2016-06-10-11,1004.7,1008.1,30.9,24.4,68,0.6,V,2.5,30,0,0,0,1.71,18,5,10
2016-06-10-12,1004.6,1008,29.1,23.5,72,1.4,80,3,60,0.2,0.5,0,0.49,N/A,2,10
2016-06-10-13,1004.7,1008.2,27,23.6,82,3.4,360,8.8,350,2.5,1,0,0.47,N/A,2,10
2016-06-10-14,1004,1007.5,28.2,24.3,79,2,50,5.2,10,0.2,1,0,0.6,25,2,10
2016-06-10-15,1003.8,1007.3,28.1,23.5,76,2.1,10,6.6,50,0.1,0.6,0,0.6,N/A,2,10
2016-06-10-16,1003.9,1007.4,27.9,23.1,75,0.9,30,3.4,10,T,0.6,0,0.44,N/A,1,10
2016-06-10-17,1003.9,1007.4,28.1,23.7,77,0.7,170,2.5,20,T,0.3,0,0,20,0,10
2016-06-10-18,1004,1007.5,27.3,23.3,79,1.8,220,3.3,190,0.1,0.7,0,0,N/A,0,N/A
2016-06-10-19,1004.2,1007.7,26.9,23.3,81,1.2,220,3.7,230,0.1,0.9,0,0,N/A,0,N/A
2016-06-10-20,1004.7,1008.2,26.8,23.2,81,0.9,190,2.3,210,0,0,N/A,0,20,0,10
2016-06-10-21,1005.1,1008.6,26.9,23,79,0.9,190,2.9,170,0,0,N/A,0,15,0,10
2016-06-10-22,1005,1008.5,26.9,23.5,82,0.8,200,2.1,220,0,0,N/A,0,N/A,0,N/A
2016-06-10-23,1004.6,1008.1,26.7,23.1,81,0.8,190,1.9,130,0,0,N/A,0,N/A,0,N/A
2016-06-10-24,1004.2,1007.7,26.4,22.8,81,1.4,180,3.5,170,0,0,N/A,0,N/A,0,N/A
2016-06-11-01,1003.5,1007,26.1,23,83,0.6,50,2.2,210,0,0,N/A,0,N/A,0,N/A
2016-06-11-02,1002.9,1006.4,26,22.9,83,0.6,170,3,150,0,0,N/A,0,N/A,0,N/A
2016-06-11-03,1002.5,1006,25.8,22.5,82,0.8,140,1.9,160,0,0,N/A,0,N/A,0,N/A
2016-06-11-04,1002.6,1006.1,25.8,22.1,80,1,150,3,170,0,0,N/A,0,N/A,0,N/A
2016-06-11-05,1003.1,1006.6,26,22.4,81,0.6,150,2,150,0,0,N/A,0,N/A,0,N/A
2016-06-11-06,1003.7,1007.2,26.2,23.2,84,0.6,190,1.9,200,0,0,0,0,N/A,0,N/A
2016-06-11-07,1004.1,1007.6,26.9,23.3,81,0.6,240,2.1,210,0,0,0,0.39,N/A,0,N/A
2016-06-11-08,1004,1007.5,28.1,23.9,78,0.1,0,3.9,240,0,0,0.1,0.88,25,1,9
2016-06-11-09,1003.9,1007.4,28.3,23.6,76,0.4,V,2.8,250,0,0,0,0.82,25,2,9
2016-06-11-10,1003.9,1007.3,29,23.7,73,0.9,150,2.5,150,0,0,0,1.01,N/A,3,9
2016-06-11-11,1003.8,1007.2,29.1,24,74,2,60,4,70,0,0,0,0.74,22,3,9
2016-06-11-12,1003.7,1007.2,27.1,24,83,0.6,20,3.6,50,3.5,0.6,0,0.63,N/A,2,10
2016-06-11-13,1003.5,1007,27.4,24.8,86,0.5,320,2.5,330,1.5,1,0,0.64,N/A,2,10
2016-06-11-14,1003.5,1007,27.1,24.9,88,1.4,10,2.6,230,0.5,1,0,0.6,4,2,10
2016-06-11-15,1002.9,1006.4,27.7,24.5,83,0.8,310,3.5,10,T,1,0,0.76,N/A,2,10
2016-06-11-16,1002.5,1005.9,28.9,25.4,81,0.6,V,2.8,30,T,0.7,0,1.15,N/A,3,10
2016-06-11-17,1002.7,1006.1,28.6,23.9,76,2.2,270,8.4,250,0,0,0,0.52,16,1,10
2016-06-11-18,1003,1006.4,28.6,22.8,71,2.4,250,7.8,270,0,0,0,0,N/A,0,N/A
2016-06-11-19,1003.2,1006.7,28.2,22.4,71,1.6,220,6.7,240,0,0,0,0,N/A,0,N/A
2016-06-11-20,1003.5,1007,27.8,22.9,75,1.1,120,3.1,180,0,0,N/A,0,40,0,7
2016-06-11-21,1004,1007.5,27.8,23,75,0.9,110,1.6,140,0,0,N/A,0,40,0,7
2016-06-11-22,1004.3,1007.8,27.7,23.2,77,1.1,140,2.2,140,0,0,N/A,0,N/A,0,N/A
2016-06-11-23,1004.3,1007.8,27.3,23.1,78,0.4,130,2.4,130,0,0,N/A,0,N/A,0,N/A
2016-06-11-24,1004,1007.5,26.9,23.2,80,0.8,120,3.1,140,0,0,N/A,0,N/A,0,N/A
2016-06-12-01,1003.6,1007.1,27,23,79,0.8,120,2.2,140,0,0,N/A,0,N/A,0,N/A
2016-06-12-02,1002.8,1006.3,26.7,23,80,1.4,120,2.7,110,0,0,N/A,0,N/A,0,N/A
2016-06-12-03,1002.4,1005.9,26.4,22.8,81,0.3,110,2.2,120,0,0,N/A,0,N/A,0,N/A
2016-06-12-04,1002.1,1005.6,26.3,22.8,81,0.5,120,3,160,0,0,N/A,0,N/A,0,N/A
2016-06-12-05,1002.5,1006,26.2,22.9,82,0.2,0,2.8,90,0,0,N/A,0,N/A,0,N/A
2016-06-12-06,1003.1,1006.6,26.6,23,81,1.2,200,3.5,200,0,0,0,0,N/A,0,N/A
2016-06-12-07,1002.9,1006.4,27.1,23.3,80,0.8,150,3.4,50,0,0,0,0.43,N/A,0,N/A
2016-06-12-08,1003,1006.5,28,23.5,77,1.1,110,2.7,90,0,0,0,0.6,30,1,10
2016-06-12-09,1002.7,1006.1,29.5,24.3,74,1.1,110,2.9,40,0,0,0,1.2,33,3,9
2016-06-12-10,1002,1005.4,31.2,24.7,68,0.8,140,2.6,60,0,0,0.1,1.69,N/A,5,10
2016-06-12-11,1001.6,1005,32.5,23.1,58,1,200,2.4,280,0,0,0.2,2.03,33,7,10
2016-06-12-12,1001.5,1004.9,32,23.7,62,0.6,130,2.9,220,0,0,0,1.34,N/A,5,10
2016-06-12-13,1001.3,1004.7,30.9,24,67,0.1,0,2,200,0,0,0,0.67,N/A,3,10
2016-06-12-14,1000.6,1004,31.4,24.4,66,0.5,230,3.4,10,0,0,0,0.6,25,2,10
2016-06-12-15,1001.1,1004.5,31.2,23.7,64,1.9,230,5.2,270,0,0,0,0.52,N/A,2,10
2016-06-12-16,999.8,1003.2,29.8,23.1,67,1.2,270,5.7,220,T,0.2,0,0.53,N/A,1,10
2016-06-12-17,999.8,1003.2,29.5,22.6,66,0.3,250,4.6,260,0,0,0,0.08,25,0,10
2016-06-12-18,1000.8,1004.2,29.4,22.6,67,1.8,250,6,270,0,0,0,0,N/A,0,N/A
2016-06-12-19,1001.2,1004.7,27.2,22.4,75,2.4,250,11.2,260,0.3,0.3,0,0,N/A,0,N/A
2016-06-12-20,1000.7,1004.2,27.7,22.6,74,1.9,230,7.6,270,0,0,N/A,0,20,0,8
2016-06-12-21,1000.3,1003.7,28.4,22.2,69,1.7,230,4.3,260,0,0,N/A,0,22,0,7
2016-06-12-22,1000.5,1003.9,27.8,22.8,74,0.3,180,3.8,210,0,0,N/A,0,N/A,0,N/A
2016-06-12-23,999.9,1003.4,27.2,23.4,80,2.1,150,3.8,140,0,0,N/A,0,N/A,0,N/A
2016-06-12-24,999.3,1002.8,27,23.2,80,1.5,120,3.8,140,0,0,N/A,0,N/A,0,N/A
2016-06-13-01,998.7,1002.2,27,23,79,1.4,130,2.6,90,0,0,N/A,0,N/A,0,N/A
2016-06-13-02,999,1002.5,27.1,22.8,77,1.9,150,5.3,140,0,0,N/A,0,N/A,0,N/A
2016-06-13-03,999.8,1003.3,25.9,22.9,84,1.6,60,4.3,160,1.8,0.7,N/A,0,N/A,0,N/A
2016-06-13-04,999.9,1003.4,25.6,23.3,87,0.6,60,2.4,90,2.8,1,N/A,0,N/A,0,N/A
2016-06-13-05,1000.3,1003.8,25.4,23.2,88,0.9,110,4.1,100,6,1,N/A,0,N/A,0,N/A
2016-06-13-06,1001.3,1004.8,24.9,22.9,89,0.9,250,2.9,260,8.5,1,0,0,N/A,0,N/A
2016-06-13-07,1001.9,1005.4,24.7,22.7,89,0.7,210,2.1,260,10,1,0,0,N/A,0,N/A
2016-06-13-08,1002,1005.5,25,23.1,89,0.5,80,1.9,350,5.3,1,0,0,6,0,10
2016-06-13-09,1001.4,1004.9,25.9,23.5,87,1.1,220,2.5,220,2,1,0,0.26,25,1,10
2016-06-13-10,1001,1004.5,26.4,24.1,87,0.6,140,1.9,150,T,1,0,0.6,N/A,2,10
2016-06-13-11,1001.8,1005.3,27,24.3,85,1.7,220,8,270,0.1,1,0,0.55,25,2,10
2016-06-13-12,1001.2,1004.6,29,24.8,78,3.5,250,11.3,260,0.1,0.3,0,0.54,N/A,2,10
2016-06-13-13,1000.3,1003.7,30.7,24.9,71,4.6,250,13.2,260,0,0,0.2,2.05,N/A,7,8
2016-06-13-14,998.6,1002,34.2,23.5,54,3.8,260,14,260,0,0,0.8,3.51,40,11,8
2016-06-13-15,998.7,1002.1,33.2,22.1,52,4.6,260,14.5,270,0,0,0.5,2.27,N/A,6,9
2016-06-13-16,999.2,1002.6,31.4,22.7,60,3.8,250,13.6,260,0,0,0,0.34,N/A,1,10
2016-06-13-17,999.2,1002.6,32.3,21.8,54,3,250,11,220,0,0,0.1,0.58,40,1,8
2016-06-13-18,999,1002.4,32.2,21.3,53,3.4,250,13.2,270,0,0,0.1,0.29,N/A,0,N/A
2016-06-13-19,999.1,1002.5,30.9,21.2,56,1.7,220,8.4,280,0,0,0,0,N/A,0,N/A
2016-06-13-20,999.5,1002.9,30.1,22.8,65,2.4,170,4.6,180,0,0,N/A,0,40,0,8
2016-06-13-21,1000.2,1003.6,29.4,22.9,68,1.1,120,4.6,110,0,0,N/A,0,40,0,8
2016-06-13-22,1000.9,1004.3,29.1,22.7,68,1.3,170,3.5,260,0,0,N/A,0,N/A,0,N/A
2016-06-13-23,1000.7,1004.1,28.5,22.6,70,0.4,100,3.2,170,0,0,N/A,0,N/A,0,N/A
2016-06-13-24,1000.3,1003.7,28.3,22.5,71,1.3,110,2,110,0,0,N/A,0,N/A,0,N/A
2016-06-14-01,1000,1003.4,27.7,22.4,73,1,110,3.5,180,0,0,N/A,0,N/A,0,N/A
2016-06-14-02,999.4,1002.8,27.6,22.4,73,1.3,120,2.9,110,0,0,N/A,0,N/A,0,N/A
2016-06-14-03,998.9,1002.3,27.4,22.1,73,1.1,90,2.9,160,0,0,N/A,0,N/A,0,N/A
2016-06-14-04,1000.3,1003.8,27.3,22.5,75,1.6,320,5.8,350,0,0,N/A,0,N/A,0,N/A
2016-06-14-05,1000.3,1003.8,26.1,23.3,85,0.3,340,8.1,310,1,0.9,N/A,0,N/A,0,N/A
2016-06-14-06,1000.3,1003.8,26.1,23.6,86,0.8,140,3.6,320,0.7,1,0,0,N/A,0,N/A
2016-06-14-07,1001.3,1004.8,25.7,23.2,86,1.2,190,2.9,190,1.3,1,0,0,N/A,0,N/A
2016-06-14-08,1001.4,1004.9,25.4,22.7,85,0.7,80,3.3,140,1,1,0,0,15,0,10
2016-06-14-09,1001.8,1005.3,26.1,23.6,86,1,200,1.8,210,1.2,1,0,0,14,0,10
2016-06-14-10,1002.6,1006.1,25.7,23.2,86,1.2,200,2,200,1.5,1,0,0,N/A,0,10
2016-06-14-11,1002.5,1006,25.2,22.9,87,1.8,130,3.3,170,5,1,0,0,8,0,10
2016-06-14-12,1003,1006.5,24.9,22.5,87,0.3,210,5.6,170,4.5,1,0,0,N/A,0,10
2016-06-14-13,1002.3,1005.8,24.7,22.8,89,0.8,100,2.3,70,11.5,1,0,0,N/A,0,10
2016-06-14-14,1001.8,1005.3,25,22.9,88,0.1,0,3.1,60,3,1,0,0,8,0,10
2016-06-14-15,1002.2,1005.7,25.5,23.2,87,0.4,270,2.6,260,4.5,1,0,0,N/A,0,10
2016-06-14-16,1001.7,1005.2,25.3,23.4,89,1.1,190,2.1,270,6,1,0,0,N/A,0,10
2016-06-14-17,1001.2,1004.7,25.1,23,88,1.6,160,2.6,170,2,1,0,0.2,15,0,10
2016-06-14-18,1000.7,1004.2,25.2,22.7,86,1.2,130,3.5,120,1.5,1,0,0,N/A,0,N/A
2016-06-14-19,1001.9,1005.4,25.1,22.8,87,1.8,140,3.3,160,T,0.1,0,0,N/A,0,N/A
2016-06-14-20,1002.3,1005.8,25.2,23.1,88,1.1,100,3.5,40,0,0,N/A,0,18,0,7
2016-06-14-21,1002.8,1006.3,25.3,23,87,1.1,140,2.9,90,0,0,N/A,0,18,0,7
2016-06-14-22,1002.6,1006.1,25.3,22.8,86,1.5,140,3.1,110,0,0,N/A,0,N/A,0,N/A
2016-06-14-23,1001.7,1005.2,25.1,22.6,86,1.4,130,3.7,150,0,0,N/A,0,N/A,0,N/A
2016-06-14-24,1001.1,1004.6,24.7,22.6,88,0.3,130,2.7,150,0,0,N/A,0,N/A,0,N/A
2016-06-15-01,1000.9,1004.4,24.5,22.6,89,0.7,180,1.7,150,0,0,N/A,0,N/A,0,N/A
2016-06-15-02,1000.2,1003.7,24.7,22.7,89,0.2,0,2,190,0,0,N/A,0,N/A,0,N/A
2016-06-15-03,1000.3,1003.8,24.3,22.3,89,0.4,130,1.5,180,0,0,N/A,0,N/A,0,N/A
2016-06-15-04,1000.8,1004.3,24.3,22.1,88,0.8,100,2.2,130,0,0,N/A,0,N/A,0,N/A
2016-06-15-05,1001.1,1004.6,24.5,22.1,87,0.5,160,2.5,170,0,0,N/A,0,N/A,0,N/A
2016-06-15-06,1001.6,1005.1,24.8,22.2,85,0.3,170,2.4,130,0,0,0,0.06,N/A,0,N/A
2016-06-15-07,1002.3,1005.8,26.1,22.4,80,1.3,160,3,130,0,0,0.1,0.54,N/A,1,N/A
2016-06-15-08,1002.6,1006,28.4,24.1,78,1,150,2.9,150,0,0,0.3,0.99,20,2,3
2016-06-15-09,1002.5,1005.9,32,24.6,65,2.3,250,6,250,0,0,1,2.37,20,5,3
2016-06-15-10,1002.1,1005.5,33.8,24.9,60,2.4,220,7.1,200,0,0,1,3.01,N/A,8,4
2016-06-15-11,1002,1005.4,35.7,26,57,3,270,8.2,220,0,0,1,3.6,24,11,4
2016-06-15-12,1001.5,1004.9,35.3,24.8,55,3.4,260,9.6,270,0,0,0.9,3.46,N/A,11,5
2016-06-15-13,1001.2,1004.6,35.7,27.2,62,3.5,280,9,260,0,0,0.6,2.61,N/A,9,4
2016-06-15-14,1000.6,1004,35.8,26.6,59,2.6,290,9.6,270,0,0,0.8,2.92,24,9,5
2016-06-15-15,1000.3,1003.7,35.5,25.7,57,1.4,260,11.1,270,0,0,0.7,2.66,N/A,7,5
2016-06-15-16,999.9,1003.3,34.9,26.1,60,1.6,260,11.4,270,0,0,0.6,2.26,N/A,4,4
2016-06-15-17,1000.3,1003.7,33.9,25.4,61,1.6,260,7.2,280,0,0,0.6,1.49,20,2,5
2016-06-15-18,1000.6,1004,32.7,24.6,63,1.5,250,8.3,260,0,0,0.2,0.42,N/A,0,N/A
2016-06-15-19,1000.9,1004.3,32.1,24.4,64,1.1,240,6.4,270,0,0,0,0,N/A,0,N/A
2016-06-15-20,1001.5,1004.9,31.4,24.6,67,0.2,0,2.1,250,0,0,N/A,0,18,0,5
2016-06-15-21,1002,1005.4,30.3,25,73,1.7,70,2.9,50,0,0,N/A,0,18,0,3
2016-06-15-22,1001.9,1005.3,30,24.8,74,0.3,120,2.9,80,0,0,N/A,0,N/A,0,N/A
2016-06-15-23,1001.2,1004.6,29.5,24.5,75,0.8,130,3,220,0,0,N/A,0,N/A,0,N/A
2016-06-15-24,1000.5,1003.9,28.7,24.3,77,1,150,3.7,150,0,0,N/A,0,N/A,0,N/A
2016-06-16-01,1000.2,1003.6,28.4,24.1,78,0.5,180,2.3,170,0,0,N/A,0,N/A,0,N/A
2016-06-16-02,1000.8,1004.2,28.3,24.1,78,0.6,200,2,170,0,0,N/A,0,N/A,0,N/A
2016-06-16-03,1001.1,1004.6,27.7,24,80,0.7,200,2.9,170,0,0,N/A,0,N/A,0,N/A
2016-06-16-04,1001.4,1004.9,27.8,23.7,78,0.7,180,2.2,110,0,0,N/A,0,N/A,0,N/A
2016-06-16-05,1001.2,1004.6,28.6,22.7,70,2.4,230,5,260,0,0,N/A,0,N/A,0,N/A
2016-06-16-06,1001.4,1004.9,27.4,22.9,76,2,140,4.5,250,0,0,0,0.1,N/A,0,N/A
2016-06-16-07,1001.5,1004.9,28.6,24.4,78,1.3,150,4.3,150,0,0,0.5,0.84,N/A,1,N/A
2016-06-16-08,1002,1005.4,31.7,23.8,63,0.9,180,2.7,140,0,0,0.6,1.61,70,2,8
2016-06-16-09,1002.3,1005.7,33.7,23.1,54,2.5,220,5.8,210,0,0,1,2.28,70,5,6
2016-06-16-10,1001.9,1005.3,35.8,23.7,50,2.9,250,9,280,0,0,1,2.97,N/A,8,6
2016-06-16-11,1002.2,1005.6,36.5,23.6,48,2.5,230,9.7,270,0,0,1,3.49,40,11,9
2016-06-16-12,1001.8,1005.2,35.9,25.1,54,4.1,260,9.9,250,0,0,0.6,2.72,N/A,10,9
2016-06-16-13,1001.4,1004.8,36.3,24.8,52,4.8,240,13.5,260,0,0,0.9,3.28,N/A,11,9
2016-06-16-14,1001.1,1004.5,35.9,25.2,54,4.2,230,13.9,260,0,0,0.6,2.32,30,8,9
2016-06-16-15,1000.9,1004.3,35.4,24.1,52,4.7,240,10.7,270,0,0,0.5,2.69,N/A,7,9
2016-06-16-16,1000.6,1004,35.7,24.8,54,3.8,260,9.9,240,0,0,0.5,1.93,N/A,4,9
2016-06-16-17,1000.7,1004.1,34.7,24.9,57,2,280,9.9,270,0,0,0.6,1.44,30,2,9
2016-06-16-18,1001.8,1005.2,33.1,24.6,61,1.8,260,7.7,280,0,0,0.3,0.48,N/A,0,N/A
2016-06-16-19,1002.7,1006.1,31.9,24.3,64,3.7,260,8.7,240,0,0,0,0,N/A,0,N/A
2016-06-16-20,1003.1,1006.5,31.4,23.8,64,3.3,250,10.4,240,0,0,N/A,0,25,0,8
2016-06-16-21,1003.5,1006.9,31.1,23.8,65,2.5,260,10.4,260,0,0,N/A,0,25,0,9
2016-06-16-22,1004.1,1007.5,30.7,24.5,70,2.1,270,6.9,260,0,0,N/A,0,N/A,0,N/A
2016-06-16-23,1004.3,1007.7,30.3,24.3,70,2.2,220,5,210,0,0,N/A,0,N/A,0,N/A
2016-06-16-24,1003.8,1007.2,30.1,23.7,69,1.7,230,4.7,210,0,0,N/A,0,N/A,0,N/A
2016-06-17-01,1003.7,1007.1,28.9,24.6,78,1,140,3.2,170,0,0,N/A,0,N/A,0,N/A
2016-06-17-02,1003.5,1006.9,28.7,24.1,76,0.7,170,3,150,0,0,N/A,0,N/A,0,N/A
2016-06-17-03,1003.5,1007,28.3,23.7,76,1.6,160,3.3,150,0,0,N/A,0,N/A,0,N/A
2016-06-17-04,1003.9,1007.4,28,23.7,78,0.5,170,4.1,160,0,0,N/A,0,N/A,0,N/A
2016-06-17-05,1004.7,1008.2,28,23.8,78,1.2,170,2.5,170,0,0,N/A,0,N/A,0,N/A
2016-06-17-06,1005.1,1008.6,28.1,23.7,77,1,130,2.6,170,0,0,0,0.06,N/A,0,N/A
2016-06-17-07,1005.4,1008.9,29.1,24.8,78,0.9,190,2.1,170,0,0,0.5,0.78,N/A,1,N/A
2016-06-17-08,1006,1009.4,32,25.6,69,0.3,V,2.5,270,0,0,0.5,1.5,22,2,1
2016-06-17-09,1005.9,1009.3,32.8,24.9,63,0.5,250,2.9,250,0,0,1,2.13,20,5,3
2016-06-17-10,1005.9,1009.3,33.8,25,60,0.6,310,3,270,0,0,0.7,2.41,N/A,6,3
2016-06-17-11,1005.8,1009.2,35.5,25,55,1.3,270,4,280,0,0,0.6,2.57,18,8,7
2016-06-17-12,1005.5,1008.9,36.6,25,52,1.2,270,5.9,260,0,0,0.7,2.94,N/A,9,8
2016-06-17-13,1005,1008.4,33.4,25.1,62,1.4,V,6.3,270,0,0,0.6,2.54,N/A,8,9
2016-06-17-14,1004.9,1008.3,31.5,24.9,68,4.4,50,8.4,50,0,0,0,0.88,20,3,9
2016-06-17-15,1004.7,1008.1,30.3,25.1,74,2.7,60,8.9,80,0.4,0.5,0,0.23,N/A,1,10
2016-06-17-16,1004.9,1008.4,27.7,25,85,5.1,160,11.6,80,6,1,0,0,N/A,0,10
2016-06-17-17,1007,1010.5,26.5,24.1,87,2.9,100,11.2,130,24,1,0,0,1.5,0,10
2016-06-17-18,1007.7,1011.2,25.6,22.8,85,1.9,120,7.4,140,28.5,1,0,0,N/A,0,N/A
2016-06-17-19,1008.1,1011.6,25.8,23.5,87,1.5,90,4.1,70,12,1,0,0,N/A,0,N/A
2016-06-17-20,1008.7,1012.2,26.3,23.6,85,0.6,310,3.4,60,5,1,N/A,0,8,0,10
2016-06-17-21,1009.1,1012.6,26.2,23.6,86,1.4,190,2.9,160,6,1,N/A,0,8,0,10
2016-06-17-22,1009.1,1012.6,26.2,23.8,87,0.6,100,2.2,240,0.6,0.8,N/A,0,N/A,0,N/A
2016-06-17-23,1009,1012.5,26.2,24,88,0.1,0,2.7,110,0,0,N/A,0,N/A,0,N/A
2016-06-17-24,1008.6,1012.1,26,23.6,87,1.4,110,3.2,90,0,0,N/A,0,N/A,0,N/A
2016-06-18-01,1007.7,1011.2,25.7,23.5,88,0.3,80,3.5,40,0,0,N/A,0,N/A,0,N/A
2016-06-18-02,1007.2,1010.7,25.7,23.5,88,1,210,1.7,70,0,0,N/A,0,N/A,0,N/A
2016-06-18-03,1007.3,1010.8,25.5,23.4,88,1,180,2,150,0,0,N/A,0,N/A,0,N/A
2016-06-18-04,1007.4,1010.9,25.4,23.1,87,0.7,180,2,130,0,0,N/A,0,N/A,0,N/A
2016-06-18-05,1007.4,1010.9,25.1,22.9,88,0.9,150,2.3,170,0,0,N/A,0,N/A,0,N/A
2016-06-18-06,1007.4,1010.9,25.5,23,86,0.8,110,2.5,80,0,0,0,0,N/A,0,N/A
2016-06-18-07,1007.9,1011.4,26.9,24.5,87,0.6,170,2.4,150,0,0,0.5,0.78,N/A,1,N/A
2016-06-18-08,1008.6,1012.1,29.2,25.1,79,0.5,160,1.9,190,0,0,0.6,1.48,17,2,4
2016-06-18-09,1009.1,1012.5,31.5,25.9,72,0.5,320,2.7,250,0,0,1,2.36,17,5,6
2016-06-18-10,1009.3,1012.7,32.3,24.8,65,0.6,180,3,270,0,0,0.8,2.75,N/A,7,7
2016-06-18-11,1009,1012.4,33.5,24.9,61,0.6,290,5.5,260,0,0,0.7,2.89,18,9,8
2016-06-18-12,1008.8,1012.2,32.6,25.1,65,2.2,320,6.3,330,0,0,0.3,1.79,N/A,6,9
2016-06-18-13,1008.4,1011.8,32.5,25,65,3.3,340,7.3,350,0,0,0.5,2.5,N/A,8,9
2016-06-18-14,1007.9,1011.4,29.9,25.3,76,2.9,350,8.1,350,0.6,0.3,0.1,0.75,10,3,10
2016-06-18-15,1008.7,1012.2,27.5,24.9,86,4.4,160,7.5,20,9.7,1,0,0,N/A,0,10
2016-06-18-16,1009.6,1013.1,25.5,22.8,85,3.2,140,8,100,10.9,1,0,0,N/A,0,10
2016-06-18-17,1009.6,1013.1,25.8,22.4,82,2.8,150,5.9,140,0.5,0.7,0,0,11,0,9
2016-06-18-18,1009.2,1012.7,26.1,23,83,1.8,120,4.7,150,0,0,0,0.26,N/A,0,N/A
2016-06-18-19,1009.8,1013.3,26.3,22.8,81,1.5,100,3.4,150,0,0,0,0.04,N/A,0,N/A
2016-06-18-20,1009.7,1013.2,26,23.2,85,0.5,110,2.2,160,0,0,N/A,0,13,0,3
2016-06-18-21,1010.1,1013.6,26.3,22.2,78,2.4,160,4.8,150,0,0,N/A,0,14,0,4
2016-06-18-22,1010.2,1013.7,26.4,21.9,76,1.2,130,5.3,130,0,0,N/A,0,N/A,0,N/A
